Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Iteration Start TIme,2,5,0,11,11,11,0,11,0.000%,2.00401,0.00,0.00
Login,2,1359,1137,1582,1582,1582,1137,1582,0.000%,.87032,2.28,0.60
Validate,2,1315,1250,1381,1381,1381,1250,1381,0.000%,.95329,4.88,1.96
TimeSheets,2,18480,18083,18878,18878,18878,18083,18878,0.000%,.06735,6.11,2.17
Logout,2,1018,1018,1018,1018,1018,1018,1018,0.000%,1.96464,8.95,3.30
Pacing Wait TIme,2,2647,2154,3141,3141,3141,2154,3141,0.000%,.63674,0.00,0.00
Debug Sampler,2,0,0,0,0,0,0,0,0.000%,2.02634,2.41,0.00
TOTAL,14,3546,1137,18083,18083,18878,0,18878,0.000%,.34147,5.08,1.79
