Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Iteration Start TIme,3,7,1,20,20,20,0,20,0.000%,2.26244,0.00,0.00
Login,3,1421,1137,2017,2017,2017,1109,2017,0.000%,1.48736,3.90,1.03
Validate,3,1251,1249,1296,1296,1296,1209,1296,0.000%,1.35014,6.91,2.78
PIM - Add Employee,3,3785,3832,3923,3923,3923,3600,3923,0.000%,.43085,8.13,2.95
PIM - Reports,3,1886,1891,1973,1973,1973,1795,1973,0.000%,.79386,7.16,2.58
Logout,3,953,921,1121,1121,1121,819,1121,0.000%,1.33511,6.10,2.24
Pacing Wait TIme,3,13752,13439,15132,15132,15132,12686,15132,0.000%,.19826,0.00,0.00
Debug Sampler,3,0,0,0,0,0,0,0,0.000%,2.27273,1.96,0.00
TOTAL,24,2882,1209,12686,13439,15132,0,15132,0.000%,.76597,3.93,1.39
